Issue ID,Title,Description, Symptom,Root Cause,Triggering Value ,Updating times ,Option Dependency,Issue-URL
44100,Server crashes if max_connections decreased below certain level,"If max_connections variable is set to a value less than the number of currently open connections, the server crashes soon afterwards.",Crash,Improperly handle updated values,Valid-drastically,one time,no dependency,https://bugs.mysql.com/bug.php?id=44100
100630,buf_pool_is_obsolete is not thread safe,"innodb_buffer_pool_sizeIf is shrinked just between buf_pool_is_obsolete and btr_cur_optimistic_latch_leaves. The invalid block pointer would be accessed,  then cause cause bad result.",Crash,Bad update timing,Valid-drastically,one time,no dependency,https://bugs.mysql.com/bug.php?id=100630
12864,Stress test: Server crashes on regular query_cache_notembedded,"set GLOBAL query_cache_size=1355776 in query_cache_notembedded test case, the system crash",Crash,Bad update timing,Valid-drastically,one time,dependency,https://bugs.mysql.com/bug.php?id=12864
23527,set global query_cache_size can crash the server under high load,set global query_cache_size can crash the server,Crash,Bad update timing,Valid-drastically,one time,dependency,https://bugs.mysql.com/bug.php?id=23527
64450,"ndb_log_apply_status can be changed online, even though it is not dynamic","Despite the fact that it is possible to change the value of this variable on a running MySQL server using SET GLOBAL, the behavior of the server with respect to this variable is not altered.",Functional Error,Fail to consider loading updated values,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=64450
75134,Setting variables for Audit plugin does not work,audit_log_exclude_accounts can be edited but is not changed in the server although it is a dynamic variable.,Functional Error,Fail to consider loading updated values,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=75134
30651,Problems with thread_handling system variable,"set GLOBAL thread_handling, didn't change its value",Functional Error,Fail to consider loading updated values,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=30651
34486,Problem setting falcon_record_chill_threshold and falcon_index_chill_threshold,using SET GLOBAL on them does not result in the new values being visible in SHOW VARIABLES.,Functional Error,Fail to consider loading updated values,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=34486
20708,ndb_cache_check_time doesn't get set from my.cnf file,"when set ndb_cache_check_time in my.cnf, it does not set the variable. If set the variable manually using set global ndb_cache_check_time, it works just fine. 
",Functional Error,Fail to consider loading updated values,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=20708
32213,Impossible high query cache setting resets cache size to 0 bytes,Setting the query cache size to high will resize the cache to 0.,Functional Error,Load wrong updated values,Invalid,one time,no dependency,https://bugs.mysql.com/bug.php?id=32213
28908,Replication: set global server_id is not setting the session server_id,setting the  global server_id is not setting the session server_id which cause changed to follow to record the old sever id.,Functional Error,Miss to propagate to other variables,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=28908
28808,log_queries_not_using_indexes variable dynamic change is ignored,"log_queries_not_using_indexes system variable is dynamic and can be changed with SET GLOBAL. The value can be really changed, but it does not change server behaviour. 
",Functional Error,Miss to propagate to other variables,Valid,one time,dependency,https://bugs.mysql.com/bug.php?id=28808
27681,log-queries-not-using-indexes runtime changes don't affect logging,"log-queries-not-using-indexes listed as dynamic variable, but runtime changes of its value don't affect logging.",Functional Error,Miss to propagate to other variables,Valid,one time,dependency,https://bugs.mysql.com/bug.php?id=27681
3829,Setting server_id on fly doesn't allow replication to start,"setting the server_id variable on the fly, didn't take effect",Functional Error,Miss to propagate to other variables,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=3829
49171,read_buffer_size is only partially dynamic variable,my_default_record_cache_size is not updated after read_buffer_size is updated on the fly,Functional Error,Miss to propagate to other variables,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=49171
27358,INSERT DELAYED does not honour SQL_MODE of the client,updating SQL_MODE didn't take effect,Functional Error,Miss to propagate to other variables,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=27358
20627,INSERT DELAYED does not honour auto_increment_* variables,updating auto_increment_* didn't take effect,Functional Error,Miss to propagate to other variables,Valid,one time,no dependency,https://bugs.mysql.com/bug.php?id=20627
20863,"If binlog format is changed between update and unlock of tables, wrong binlog","updating binlog_format didn't take effect. the master's binlog will contain a table map event but no rows event, so slave will not be able to repeat the insertion.",Functional Error,Fail to consider handling updated values,Valid,two times,dependency,https://bugs.mysql.com/bug.php?id=20863
5515,SET GROUP_CONCAT_MAX_LEN doesn't flush query cache,updating GROUP_CONCAT_MAX_LEN didn't take effect,Functional Error,Fail to consider handling updated values,Valid,one time,hard-obtained dependency,https://bugs.mysql.com/bug.php?id=5515
5394,max_sort_length does not invalidate queries in the query cache,updating max_sort_length didn't take effect,Functional Error,Fail to consider handling updated values,Valid,one time,hard-obtained dependency,https://bugs.mysql.com/bug.php?id=5394
65225,InnoDB miscalculates auto-increment after changing auto_increment_increment,"updating auto_increment_increment on the fly, but get wrong result",Functional Error,Improperly handle updated values,Valid-drastically,one time,no dependency,https://bugs.mysql.com/bug.php?id=65225
