Issue ID,Title,Description, Symptom,Root Cause,Triggering Value,Updating times ,Option Dependency,Issue-URL
BUG #6097,BUG #6097: Server crash when enabling custom_variable_classes,Server crash when enabling custom_variable_classes on the fly,Crash,Load wrong updated values,Invalid,one time,hard-obtained dependency,https://www.postgresql.org/message-id/201107080646.p686kTIi068705%40wwwmaster.postgresql.org
Message-ID,auto_explain causes cluster crash if pg_ctl reload is used (not pg_ctl restart),"after updating custom_variable_classes, system scrash",Crash,Load wrong updated values,Valid,multiple options,hard-obtained dependency,https://www.postgresql.org/message-id/CAGrpgQ8ERvmy3q6JBjyn8Nq2%2B000c7A4uRrsGsdKNqtxmRbcYw%40mail.gmail.com
Message-ID,Assertion failure on reload of GUC_SUPERUSER_ONLY parms,"when you modify a GUC_SUPERUSER_ONLY parameter, such as log_filename, in postgresql.conf and then reload you will get the assertion failure",Crash,Improperly handle updated values,Valid,one time,no dependency,https://www.postgresql.org/message-id/201107080646.p686kTIi068705%42wwwmaster.postgresql.org
BUG #13471,BUG #13471: Reload with include_dir results in incorrect errors message,using include_dir and reload makes crash,Crash,Improperly handle updated values,Valid,one time,hard-obtained dependency,https://www.postgresql.org/message-id/201107080646.p686kTIi068705%43wwwmaster.postgresql.org
Message-ID,Can't connect to my postgresql,with password file losing，do sighup crash system,Crash,Improperly handle updated values,Valid,one time,no dependency,https://www.postgresql.org/message-id/201107080646.p686kTIi068705%44wwwmaster.postgresql.org
Message-ID,Postgres crashed on invalid IP entry in pg_hba.conf,"database was crashed as soon as we added an invlid
entry in the pg_hba.conf file.",Crash,Improperly handle updated values,Invalid,one time,dependency,https://www.postgresql.org/message-id/201107080646.p686kTIi068705%45wwwmaster.postgresql.org
Message-ID,Buffer overflow when continuously send SIGHUP to postgres,Buffer overflow when continuously send SIGHUP to postgres,Crash,Improperly handle updated values,Valid,one time,no dependency,https://www.postgresql.org/message-id/CAA8ZSMqAHDCgo07hqKoM5XJaoQy6Vv76O7966agez4ffyQktkA%40mail.gmail.com
BUG #3589,BUG #3589：/etc/postgresql/postgresql.conf log_statement,commented-out the log_statement=true. didn't take effect on the option,Functional Error,Fail to consider loading updated values,Valid,one time,dependency,https://www.postgresql.org/message-id/200708300302.l7U32sP9005096%40wwwmaster.postgresql.org
Message-ID,Archiver not picking up changes to archive_command,updating archive_command on the fly，but didn't take effect,Functional Error,Fail to consider handling updated values,Valid,one time,dependency,https://www.postgresql.org/message-id/AANLkTinmg9-gtu9NUxebe-NKfk5dkhNY2-sa1H0-WxCr%40mail.gmail.com
BUG #11350,BUG #11350: ALTER SYSTEM is not DDL?,"When set 'log_statement=ddl' and execute ALTER SYSTEM,
any log messages are not outputted.",Functional Error,Improperly handle updated values,Valid,one time,no dependency,https://www.postgresql.org/message-id/20140904051356.2926.42797%40wrigleys.postgresql.org
Message-ID,log_collector doesn't respond to reloads,after updating log_directory，system still continues to log to the old directory,Functional Error,Improperly handle updated values,Valid,one time,dependency,https://www.postgresql.org/message-id/4F99E37E.30904%40agliodbs.com
BUG #5759,"BUG #5759: Autovacuum cost limit trends to 1, using default config","start everything up with autovacuum_vacuum_cost_limit=200.  You'll get three processes each with cost_limit=66. Then change that to -1 in the config. The launcher will launch new worker processes with autovacuum_vacuum_cost_limit=-1.   After each table completes, you'll see the cost_limit drop.",Functional Error,Improperly handle updated values,Valid-drastically,one time,no dependency,https://www.postgresql.org/message-id/201011191532.oAJFWxR2095324@wwwmaster.postgresql.org
BUG #16666,BUG #16666: Slight memory leak when running pg_ctl reload,"for these string type PGC_POSTMASTER GUC variables like 'unix_socket_directories', the following code segment will leak newval's memory",Resource Abuse,Improperly handle updated values,Valid,one time,no dependency,https://www.postgresql.org/message-id/16666-2c41a4eec61b03e1%40postgresql.org
BUG #16160,BUG #16160: Minor memory leak in case of starting postgres server with SSL encryption,updating ssl_crl_file with wrong value. sighup caused memery leak or OOM,Resource Abuse,Improperly handle updated values,Invalid,one time,dependency,https://git.postgresql.org/gitweb/?p=postgresql.git;a=commit;h=4b12ab18c9d0735d760bf7667b158707b06e5df8
