Software,Reproduced Bug,Type,Internal Effect Detection,External Effect Detection,Parachute,Staccato,
Mysql,75134,R1-1,yes,yes,yes,yes,
Mysql,30651,R1-1,yes,yes,yes,yes,
Mysql,20708,R1-1,yes,yes,yes,yes,
Redis,8349,R1-1,yes,no,yes,yes,
pgsql,BUG #3589,R1-1,yes,yes,yes,yes,
Mariadb,26140,R1-1,yes,yes,yes,yes,
Mariadb,28291,R1-1,yes,no,yes,yes,
Mariadb,18074,R1-1,yes,no,yes,yes,
Mysql,32213,R1-2,yes,yes,yes,no,
Redis,7236,R1-2,yes,yes,yes,no,
Redis,7898,R1-2,yes,yes,yes,no,
Redis,4634,R1-2,yes,no,yes,no,
Redis,5025,R1-2,yes,no,yes,no,
Redis,5012,R1-2,yes,no,yes,no,
Redis,3252,R1-2,yes,no,yes,no,
Redis,2357,R1-2,yes,no,yes,no,
Redis,398,R1-2,yes,no,yes,no,
Redis,4125,R1-2,yes,no,yes,no,
Redis,4904,R1-2,yes,no,yes,no,
Redis,8958,R1-2,yes,no,yes,no,
Redis,4436,R1-2,yes,no,yes,no,
Mariadb,4774,R1-2,yes,yes,yes,no,
Mariadb,17798,R1-2,yes,no,yes,no,
Mysql,27358,R1-3,yes,no,yes,yes,
Mysql,20627,R1-3,yes,no,yes,yes,
Mysql,28908,R1-3,yes,yes,yes,yes,
Mysql,28808,R1-3,yes,yes,yes,no,
Mysql,27681,R1-3,yes,yes,yes,no,
Mysql,3829,R1-3,yes,no,yes,no,
Mysql,49171,R1-3,yes,no,yes,yes,
Squid,2604,R1-3,yes,no,yes,yes,
Squid,579,R1-3,no,no,no,yes,
Mariadb,5001,R1-3,no,no,no,yes,
Mysql,20863,R2-1,no,no,no,no,
Mysql,5515,R2-1,no,yes,yes,no,
Mysql,5394,R2-1,no,no,no,no,
pgsql,message-id/AA,R2-1,no,no,no,no,https://www.postgresql.org/message-id/AANLkTinmg9-gtu9NUxebe-NKfk5dkhNY2-sa1H0-WxCr%40mail.gmail.com
Nginx,796,R2-1,no,no,no,no,
Mariadb,4851,R2-1,no,yes,yes,no,
httpd,60598,R2-1,no,yes,yes,no,
Mysql,65225,R2-2,no,no,no,no,
pgsql,BUG #5759,R2-2,no,yes,yes,no,
pgsql,BUG #11350,R2-2,no,no,no,no,
pgsql,message-id/4F,R2-2,no,yes,yes,no,https://www.postgresql.org/message-id/4F99E37E.30904%40agliodbs.com
Nginx,1419,R2-2,no,no,no,no,
Nginx,178,R2-2,no,yes,yes,no,
Mariadb,23988,R2-2,no,no,no,no,
Mariadb,6296,R2-2,no,yes,yes,no,
Mariadb,18333,R2-2,no,yes,yes,no,
Mariadb,9675,R2-2,no,no,no,no,
Mariadb,9155,R2-2,no,no,no,no,
Mariadb,8226,R2-2,no,yes,yes,no,
Mariadb,8227,R2-2,no,yes,yes,no,
httpd,55152,R2-2,no,yes,yes,no,
httpd,55985,R2-2,no,no,no,no,
httpd,54276,R2-2,no,no,no,no,
